Layer_Index,Wedge_Index,Wedge_Start_Rad,Wedge_End_Rad,Wedge_Start_Degrees,Wedge_End_Degrees
2,100,4.906574,4.959991,281.126007,284.186523
3,100,4.905256,4.961308,281.050446,284.262024
4,100,4.903577,4.962988,280.954254,284.358246
1,101,4.957826,5.006913,284.062500,286.875000
2,101,4.955661,5.009078,283.938477,286.999023
3,101,4.954343,5.010396,283.862976,287.074554
4,101,4.952664,5.012075,283.766724,287.170746
1,102,5.006913,5.056001,286.875000,289.687500
2,102,5.004749,5.058165,286.750977,289.811523
3,102,5.003430,5.059484,286.675446,289.887054
4,102,5.001751,5.061162,286.579254,289.983246
1,103,5.056001,5.105088,289.687500,292.500000
2,103,5.053836,5.107253,289.563507,292.624023
3,103,5.052518,5.108571,289.487946,292.699524
4,103,5.050839,5.110250,289.391754,292.795746
1,104,5.105088,5.154175,292.500000,295.312500
2,104,5.102923,5.156340,292.375977,295.436523
3,104,5.101605,5.157658,292.300446,295.512054
4,104,5.099926,5.159337,292.204254,295.608246
1,105,5.154175,5.203263,295.312500,298.125000
2,105,5.152011,5.205427,295.188477,298.248993
3,105,5.150693,5.206746,295.112976,298.324554
4,105,5.149014,5.208425,295.016754,298.420746
1,106,5.203263,5.252350,298.125000,300.937500
2,106,5.201098,5.254515,298.000977,301.061523
3,106,5.199780,5.255833,297.925446,301.137054
4,106,5.198101,5.257512,297.829254,301.233246
1,107,5.252350,5.301437,300.937500,303.750000
2,107,5.250185,5.303602,300.813477,303.874023
3,107,5.248868,5.304920,300.737946,303.949524
4,107,5.247189,5.306600,300.641754,304.045776
1,108,5.301437,5.350525,303.750000,306.562500
2,108,5.299273,5.352689,303.625977,306.686493
3,108,5.297955,5.354008,303.550476,306.762054
4,108,5.296276,5.355687,303.454254,306.858246
1,109,5.350525,5.399612,306.562500,309.375000
2,109,5.348361,5.401777,306.438477,309.499023
3,109,5.347042,5.403095,306.362946,309.574554
4,109,5.345363,5.404774,306.266754,309.670746
1,110,5.399612,5.448700,309.375000,312.187500
2,110,5.397448,5.450864,309.251007,312.311523
3,110,5.396130,5.452182,309.175446,312.387024
4,110,5.394451,5.453862,309.079254,312.483246
1,111,5.448700,5.497787,312.187500,315.000000
2,111,5.446535,5.499952,312.063477,315.124023
3,111,5.445217,5.501270,311.987946,315.199554
4,111,5.443538,5.502949,311.891724,315.295746
1,112,5.497787,5.546875,315.000000,317.812500
2,112,5.495623,5.549039,314.875977,317.936523
3,112,5.494305,5.550357,314.800476,318.012054
4,112,5.492625,5.552036,314.704254,318.108246
1,113,5.546875,5.595962,317.812500,320.625000
2,113,5.544710,5.598126,317.688477,320.749023
3,113,5.543392,5.599444,317.612946,320.824524
4,113,5.541713,5.601124,317.516754,320.920746
1,114,5.595962,5.645049,320.625000,323.437500
2,114,5.593797,5.647214,320.500977,323.561523
3,114,5.592479,5.648532,320.425446,323.637024
4,114,5.590800,5.650211,320.329254,323.733276
1,115,5.645049,5.694137,323.437500,326.250000
2,115,5.642885,5.696301,323.313477,326.373993
3,115,5.641567,5.697619,323.237976,326.449554
4,115,5.639887,5.699298,323.141754,326.545746
1,116,5.694137,5.743224,326.250000,329.062500
2,116,5.691972,5.745389,326.125977,329.186523
3,116,5.690654,5.746707,326.050446,329.262054
4,116,5.688975,5.748386,325.954254,329.358246
1,117,5.743224,5.792312,329.062500,331.875000
2,117,5.741060,5.794476,328.938507,331.999023
3,117,5.739741,5.795794,328.862946,332.074524
4,117,5.738062,5.797473,328.766754,332.170746
